,Unnamed: 0,id1,Description1,id2,Description2,Type of dependency,label
362,1086,14393,ruby revision,6353,relating keyword argument ar,independent,0
363,4952,15919,request optional argument integertim,12817,hello ruby core team may read,independent,0
364,4347,4601,beginrnin attempt make old gem,7519,limitation module g,independent,0
365,36,17145,id like propose objectdeep freezern,17274,ticket describes semantics sharea,relates,1
366,1119,2084,beginn cat tmpattrrb rn class crn,15559,currently bitwise logical,independent,0
367,799,13006,hello right difficulty u,6647,many application user dealt,relates,1
368,4364,14606,rubyrnbeginrn foornelsern,11145,msg dontwait enough force nonblocking,independent,0
369,7292,5462,currently httpproxyserver proxy,12596,introduced dirempty,independent,0
370,292,13765,proc curry,7939,beginrni really like new assuming,relates,1
371,7125,4265,beginrn many library relaunch ruby pe,12244,sometimes calculates integer integer n,independent,0
372,168,5481,beginrnrnuptodate summary propo,15657,maintenance webrick hard rub,relates,1
373,2300,16602,would make sense eval frozen stri,4688,documented functionslast functionscount,independent,0
374,6831,11428,safest way interact unix shell wit,14066,hi herernrnhere small pr add caa,independent,0
375,190,11925,propose make struct subclass constructor w,15222,ruby struct subclass dif,relates,1
376,886,8539,unbundling exttk ruby reposito,5481,beginrnrnuptodate summary propo,relates,1
377,7737,10365,guess people would want extract numer,14574,coding encodingbinary,independent,0
378,156,15799,implemented pipeline operator topi,17353,since ruby already moving directionfu,relates,1
379,5331,6256,hi allrnrni think may found way,13314,hashdig want assign,independent,0
380,362,12820,hellornrnthe patternrnrnrubyrnc,15192,motivationrnrnintroduce new syntax,relates,1
381,4331,12354,step reproducernrncreate ec keyrn,12871,arraysum us kahans algorithm float,independent,0
382,5660,10982,ruby error nomethoderror happens,14788,sometimes need fetch k,independent,0
383,64,16463,ruby outrnit aim warn ever,16897,rubyrnrequire benchmarkipsrnrnmodu,relates,1
384,1083,5555,shouldnt include method renamed,15463,problemrnim using,independent,0
385,7,15865,adding syntax oneline pattern,17371,reintroducing expr pat akr,relates,1
386,621,13884,often array used filter paramete,11911,one ruby biggest strength ability,independent,0
387,845,7792,recently replace several symbol,5964,put another way make symbol st,relates,1
388,410,12447,sometimes want extract digit placeva,4787,suggest new feature integer enumerat,relates,1
389,4682,14217,problemrnwhen ruby release candidat,16605,couldnt find anything bug,independent,0
390,2078,12064,creation encunicodecasefoldh bee,11007,id like execute following codernrn,independent,0
391,6892,12985,need implement rfccompliant cookie hand,17157,warning say removed ruby,independent,0
392,318,13201,issue tracking gem release dbm,13248,issue tracking gem release gdbm,relates,1
393,859,12319,moduleconst get accepts nonnested string,5690,would great way dynami,relates,1
394,442,14656,without development tool trying insta,10740,spec becaus,independent,0
395,6954,16673,nethttp allows setting open timeout,10165,patch change benchmarkrealtime meth,independent,0
396,3212,14606,rubyrnbeginrn foornelsern,3285,beginn current bigdecimal managed,independent,0
397,450,11167,hi guysrnrnhi nobu rnrnalso hi matz,12046,write accessor method bo,relates,1
398,5279,15829,id like propose sugar objectthen,12459,suggest little new feature liboptparse,independent,0
399,4275,13780,ruby regex engine support grapheme,7748,beginrnif write method us send,independent,0
400,556,10600,multipleproducer multipleconsumer sit,17357,currently difficult reliably distingu,relates,1
401,357,12912,dont allow range without end like,14697,enumeratorarithmeticsequence ha,relates,1
402,730,7388,beginrnfrom githubrn,6721,rni think following method missing fr,relates,1
403,6375,14777,hirnrnas mentioned,17099,moduleattr work moduleattr reader,independent,0
404,1952,10366,currently rational inspection expressed wi,3939,beginn default system erro,independent,0
405,1778,13302,currently setting lot program,11791,frequently use literal quoting aka w,independent,0
406,13,16794,reading rassign,17353,since ruby already moving directionfu,relates,1
407,5222,10658,here story wrote testing framework,12715,hello try somewhat short much,independent,0
408,657,8658,adding new method processclock g,8096,beginrna lot scenario application,relates,1
409,1063,16183,reason way currently decla,11997,request single method read file wh,independent,0
410,328,13197,issue tracking gem release file,5481,beginrnrnuptodate summary propo,relates,1
411,533,11105,support hash literal,14579,allow value omission hash lite,relates,1
412,2764,15609,rb sleep us time internally,15093,currently ruby head following giv,independent,0
413,812,6482,beginrnthis patch add full uri request,5064,currently problem netht,relates,1
414,622,9108,hirnrni seem regularly requir,8499,according experience following two,relates,1
415,3613,5644,please add enumerableexclude antonym e,10663,hirnrnconsider file called testrbr,independent,0
416,648,9037,beginrni thinking frozen lite,8804,introduce syntax,relates,1
417,823,6309,interesting us weakref much hard,6308,weakrefs delegation feature really awf,relates,1
418,7581,2084,beginn cat tmpattrrb rn class crn,15899,seems method getting su,independent,0
419,655,10420,gcm cipher accepts variable iv length rub,8667,hellorn rn openssl allowed,relates,1
420,353,12957,currently create lambda proc one u,15973,kernellambda receives proc,relates,1
421,3220,12586,hellornrnclass array sample method,7055,beginrni propose make use self,independent,0
422,173,13807,frequently see code us value,15557,often see code like thisrnrn rubyr,relates,1
423,545,11252,matz hope integrate mean gem r,11032,hi guysrnrnwhen younger class,relates,1
424,4829,4589,beginrnplease add threadsafe meth,5767,patch add caching expanded load path,independent,0
425,241,14489,currently discourse boot notice min,14492,rn rubygem like yomikomu,relates,1
426,950,6817,know propose significa,4539,inspired haskells zipwith function ha,relates,1
427,957,7288,documentation chmods uppercase featu,14411,wonder predicate method say secure,independent,0
428,377,12739,class object deprecate constant f,12005,cruby two integer class fixnum,relates,1
429,214,14830,ticket picking mjitpause ht,14954,problemrnto measure mjitgenerated cod,relates,1
430,193,14187,currently mri many test suite bootstr,16244,comparing time using pretty,independent,0
431,718,7793,would nice following method,4151,beginrn hirn rn method,relates,1
432,630,11473,matz said string literal immutable,8976,yesterday facetoface developer mee,relates,1
433,5934,6557,reason rb hash clear publi,7414,class foornendrnobjectconst get object,independent,0
434,2293,13368,declaration local variable loop,9853,hirnrnin ruby thisrnrnw,independent,0
435,2837,3908,beginrn hirn rn id propose private c,13608,rb trace arg tracepoints internal struct,independent,0
436,549,10770,ord raise error meeting illformed byt,7114,beginrnas suggested drbrain,independent,0
437,17,15657,maintenance webrick hard rub,17303,propose move webrick bundled gem r,relates,1
438,5434,14237,first patch prepatory second patch us io,14077,encoding class constant defined,independent,0
439,6036,8232,recently struggling matrix cl,14580,given hashrnrn rubyrnhash,independent,0
440,6,17365,summary currently good way ret,17378,discussion marcandre found good,relates,1
441,874,11025,rake follow testunit minitest,5481,beginrnrnuptodate summary propo,relates,1
442,983,3917,beginrn propose introduce kernelcalle,1906,beginrn inspired nobus recent refactori,relates,1
443,1014,7518,fiddlepointerto str int,13129,refinement method missing respond,independent,0
444,566,10329,followupto feature optimize recv,10326,concatenating literal string existing stri,relates,1
445,5000,2619,beginn used processfork av,10038,objectspacedump expose internal information,independent,0
446,52,16989,opening series feature request,16991,id like add join setrnrnru,relates,1
447,644,8897,propose ruby support client side tcp f,8871,propose ruby support server side tcp fa,relates,1
448,348,12978,developer meeting today proposed syn,12963,symbol keyword argument often used,relates,1
449,1663,7087,see program attached bug timeout,17059,current ruby ioselect method call posix,independent,0
450,237,12996,proposal range optimize red,14575,conscious duplicate bug,relates,1
451,7707,5554,often want apply proc self sel,5669,little idea popped headr,independent,0
452,274,14022,joining element array,15024,think could handy block suppor,relates,1
453,59,16989,opening series feature request,16995,quite minor set r,relates,1
454,660,8643,bindingfrom hash would work likernrn,8631,would interesting erb could allow h,relates,1
455,3042,14887,class inherits array del,12211,proposes new method datefirst month,independent,0
456,1052,16336,purpose constant privacy keep c,6588,setsuperset setsubset,independent,0
457,65,16378,think important otherwise,16891,based feedback railscore matz de,relates,1
458,4053,13602,patch optimizes instance variable lookup,12360,would nice bang method returned resu,independent,0
459,6949,12267,following file added conte,9634,ive written patch collect symbol,independent,0
460,6115,17261,abstractrnrni propose software transact,3206,beginrn futex timer thread inherits,independent,0
461,2088,14777,hirnrnas mentioned,14123,matz may commit really want,independent,0
462,733,7384,propose object renamed,6687,beginrnlet propose enumerablewith,relates,1
463,3291,10463,mark literal symbol,1193,beginrn one nice thing testunit,independent,0
464,331,13182,issue tracking gem release cmat,5481,beginrnrnuptodate summary propo,relates,1
465,976,4073,beginn suspect ruby mi,1784,beginn glad see there build,relates,1
466,537,13588,implementing iolike object id like,11094,originally defined codespace,relates,1
467,6971,11630,would create reliable alternative gem,11723,hi everyonernrni trying write li,independent,0
468,4746,16971,following pattern mean basically,8683,csv library add new row,independent,0
469,5646,17328,ive opened pr,13963,like expensive slo,independent,0
470,281,13969,dir class method pair direntries,11302,direntries return array content wi,relates,1
471,504,11537,sometimes write following code rail ap,8191,beginrnas ducktyped language ruby,relates,1
472,5281,11082,found needle condition pathnamerbrnr,5480,beginrni propose removing gserver libra,independent,0
473,6104,16739,often see code like followingrnrn,6744,example download filern,independent,0
474,776,6802,ruby method obtain array,12745,simplified stupid example replace som,relates,1
475,40,16476,seems like blocking syscall done,17134,add resolve timeout tcpsocketnewrnit,relates,1
476,1164,7288,documentation chmods uppercase featu,17018,rb profile frame backend,independent,0
477,3077,5494,proposal improved finalizer semanticsrnr,15964,patch implement rfc,independent,0
478,542,11049,sometime want grep like operation,9602,enumerablegrep useful filter thing,relates,1
479,7554,4016,beginn please consider adding age unicod,17479,backgroundrnrnthere currently way,independent,0
480,147,15865,adding syntax oneline pattern,16355,currently single line pattern matchingexpr,relates,1
481,354,12928,rncurrent nethttp netpop use timeoutt,12435,hey ive got pull request,relates,1
482,4998,13516,warning currently readsrnrnloading,15734,hi ruby teamrnrnive created pull request,independent,0
483,368,10739,create patch change see atta,11627,historic reason nonzero return self,independent,0
484,780,6739,hi therernrnwhen wrapping single lin,10042,postfix rescue notation convenientbu,relates,1
485,805,8846,propose changing moduleinclude public,6539,feel inconsistency meth,relates,1
486,4636,6583,beginrnif user try bind port tha,5622,adding documentation bigdecimalinfinity,independent,0
487,4050,6353,relating keyword argument ar,8688,beginrnhi therernrnkernelsprintf shou,independent,0
488,1114,13001,would like include none slot,7414,class foornendrnobjectconst get object,independent,0
489,2151,13208,found need recently class,13626,common pattern io buffering read,independent,0
490,122,16150,much time user call,16153,freezing string give u nice performanc,relates,1
491,584,10152,stringstrip doesnt remove nonbreaking space,10085,case conversion function currently limite,relates,1
492,740,7378,variant filewrite pa,7362,pathname start another pathname th,relates,1
493,6713,10119,add changedsince fetch modifierrn,11554,improve consistency moduledefine met,independent,0
494,501,11541,since ruby def return symbol th,13560,hirnrnim suggesting moduleattr,relates,1
495,105,16018,since moduledeprecate consta,16345,propose ruby doesnt emit deprecation,relates,1
496,1256,4778,manipulating text file mostly inpu,9650,hi guy rnrna quick idea next maj,independent,0
497,6221,3620,beginrn queue sizedqueue conditionvari,12364,hirnrnive attached patch copy,independent,0
498,1870,8842,beginrni propose extend integer accep,16435,idea obvious couldnt find di,independent,0
499,606,12512,think value transformation fundamental,9635,way directly map hash,relates,1
500,916,5044,reason zip doesnt return r,4539,inspired haskells zipwith function ha,relates,1
501,581,13123,hashdig often variab,7914,beginrnhere use case local class,independent,0
502,2890,8938,automatic keyword block variabler,13045,following methodrnrn rubyrndef,independent,0
503,1011,7051,new caller location api allows one get,9020,summaryrnrni would like propose addin,independent,0
504,2157,14140,already branching error logging format f,14315,rnzlib reduce garbage gzip writes de,independent,0
505,224,14736,ruby concurrency greatly enhanced co,16786,abstractrnrnwe propose introduce li,relates,1
506,6129,13733,would like let delegator dump inst,5589,another committer review request th,independent,0
507,550,10728,add warning fixnumsize rn,7517,maximum minimum number fixnum,relates,1
508,89,16441,method like take al,16446,led think issue ge,relates,1
509,954,4477,documentation common sense would e,2715,beginrn old issue think going,relates,1
510,1097,4720,decided document libtracerrb since w,14473,hi therernrnid like propose method,independent,0
511,842,8751,hellornrni would like byte offset,6012,originally suggested,relates,1
512,95,16378,think important otherwise,16891,based feedback railscore matz de,relates,1
513,465,12019,nowadays almost every processor,8259,motivated gist url,relates,1
514,6174,8887,adding optional argument,10771,constant difficult get sour,independent,0
515,662,12775,often see use case randomly sample sub,4326,beginrn fiber considered corouti,independent,0
516,928,6298,beginrnmaybe another way thi,5007,im proposing method called proccall,relates,1
517,914,12241,refinement feature,5054,though matz said ruby,relates,1
518,1005,3112,beginrn whyrnendrn,2340,beginn yaml syck why product,relates,1
519,5133,3685,beginrn ary used implic,16952,rn cat myscriptrb rnbadrubysheba,independent,0
520,298,13618,rnauto fiber schedule rb wait sin,14736,ruby concurrency greatly enhanced co,relates,1
521,2243,9346,install systemlevel signal handler,13666,dear cruby committersrnrni would like,independent,0
522,7282,9235,document followingrnrn wha,1844,beginrn immediate cant dupd,independent,0
523,45,17100,ractor proposal new concurrent abst,17145,id like propose objectdeep freezern,relates,1
524,3733,15327,refinement enabled various context,11634,variablec rb global tbl convert id tabl,independent,0
525,771,6817,know propose significa,6373,recently suggested extens,relates,1
526,7612,15281,current implementation computes set intersecti,10503,currently argumenterror raised uri,independent,0
527,93,15751,similar nameerrorreceiver return,16419,exception class receiver accept r,relates,1
528,184,5726,id like define processexit success p,8825,would nice could take symbol,independent,0
529,7023,13221,part standard library ruby,13666,dear cruby committersrnrni would like,independent,0
530,6930,10867,case rb atomic type retrieved,14340,testexcludes exclude expensive mdns resolv,independent,0
531,576,13334,mathncomplex mathnrational deprec,10169,englishrnrnas mentioned,relates,1
532,4645,10168,string get printed copied pa,8343,examplernrn stringscannernewfri,independent,0
533,3407,14564,nice dig method help lotr,2306,beginn split string class,independent,0
534,762,7003,let make sure therell mvm,14792,old problem maybe running multip,relates,1
535,911,5064,currently problem netht,5461,beginrnthe attached patch add pip,relates,1
536,729,7067,hellornrni think ioreopen accept,12639,patch make requiring alreadyloaded f,independent,0
537,4015,8217,current opensslbnnew get string,12574,believe true false nil lo,independent,0
538,1677,10785,english follows japanese english,15955,id love way apply unboundmethod,independent,0
539,1022,2321,beginn created new patch ar,2322,beginrn patch add standard deviatio,relates,1
540,82,16476,seems like blocking syscall done,17134,add resolve timeout tcpsocketnewrnit,relates,1
541,2615,6615,patch switch zstream run usin,9532,wondering could type ch,independent,0
542,259,14138,many good reason simply define,16963,englishrb longer maintained ruby cor,relates,1
543,516,11346,dont think would good idea,11066,hi first report please bear wit,relates,1
544,957,4335,ruby behaviorrn rnrubyrn,3575,currently work like thisrnrnrubyrn,relates,1
545,769,6823,hirn rn ive previously reported coupl,5453,gemspec added automodea,relates,1
546,403,12512,think value transformation fundamental,9635,way directly map hash,relates,1
547,1821,14386,sometimes write code likernrn rubyr,12161,bigdecimals inspect humanfriend,independent,0
548,49,16989,opening series feature request,16994,would like shorthand syntax frozen se,relates,1
549,670,11525,proposed moduleused invoked w,16175,new keyword freeze intro,independent,0
550,5601,11530,back ascii ar,9807,discussion team chat today w,independent,0
551,968,4151,beginrn hirn rn method,5662,ruby often use idiom build,relates,1
552,3532,16688,often work pathname object p,4481,beginrnplease add client ca method ope,independent,0
553,7388,6362,id like ask opinion adding two,13544,currently way load instruction,independent,0
554,1047,1201,beginrn possible use relati,1200,beginrn possible use named,relates,1
555,3017,5877,currently taking substring str,13721,since attr hash key frequently reused,independent,0
556,990,6478,else one supposed get class,9346,install systemlevel signal handler,independent,0
557,278,13985,since truefalsenilintegerfloat jus,13983,since basically value typesrnthey,relates,1
558,6544,4742,currently option fileopen,16168,ruby method implemented function,independent,0
559,951,4539,inspired haskells zipwith function ha,16261,upd discussion comment method,relates,1
560,60,16987,enumeration designed greedy immedi,17312,offspring vague,relates,1
561,6718,10107,reduces casting long line sho,16851,implemented linear probing simple,independent,0
562,7743,9303,write unit test fileutilsc,10773,see codernrnrnmodule mrn modul,independent,0
563,604,12737,provide moduledefined refinement,9704,refinement remain filescoped,relates,1
564,1213,12995,since conditional expression return va,12719,language operator performing,independent,0
565,7366,13048,relatively common call regexpnewre,6596,submitted pull request github prov,independent,0
566,3902,10098,could totally wrong seems sta,13827,improve performance,independent,0
567,6490,9678,whatever worth ive,2784,beginn moment appears,independent,0
568,559,10552,counting many time value appears som,10228,im gonna implement feature related,relates,1
569,177,15504,abstractrnrnrange currently nonfroze,17195,range frozen,relates,1
570,3421,5010,always found optionparser api wel,4610,curry lambda argument c,independent,0
571,713,7854,propose new class method symbol,7839,hirnrnon team rail trouble,relates,1
572,408,12546,unicodenormalizeunicode version defined,12460,currently unicode version used speci,relates,1
573,2491,10585,define optimized setter first,10173,suppose empty ensure like,independent,0
574,375,6802,ruby method obtain array,12745,simplified stupid example replace som,relates,1
575,1828,10881,would like nomethoderror receiver,17276,although obviously syntax error,independent,0
576,3105,6707,dont need check anymorernrnhtt,11690,given assign multiple variable,independent,0
577,316,13261,issue tracking gem release sdbm,5481,beginrnrnuptodate summary propo,relates,1
578,1010,8015,diff git agcc bgccrnindex,2837,beginrn gc currently increase size,relates,1
579,940,12447,sometimes want extract digit placeva,4787,suggest new feature integer enumerat,relates,1
580,442,12092,allows creating modified clone frozen,14778,id like use objectdup block whi,relates,1
581,522,13067,propose make trueclass falseclass,11286,proposalrnit proposed enumerable,relates,1
582,1012,4477,documentation common sense would e,2715,beginrn old issue think going,relates,1
583,2612,17208,proposal add compact compa,16615,given method bar defines instan,independent,0
584,80,16463,ruby outrnit aim warn ever,16511,alternative id lik,relates,1
585,402,5788,beginrni propose new method threadat exi,11710,setmerge method currently mutates cal,independent,0
586,3742,15668,hi rubystdlibrnrncomputing,11507,discovered implementing soap client,independent,0
587,7626,7472,typical rail apps huge largely,16742,think adding two method would greatly,independent,0
588,7625,4233,beginrn intentional used vi,6521,ive added patch cover kernel module docu,independent,0
589,6154,3875,beginn naive implementation backtrace,6315,using similar mechanism set trace func,independent,0
590,650,12973,require relative speed loading file,8781,wrote attached small script rrcrb stand,relates,1
591,3592,10034,reducing struct pattern buffer,1147,beginn please improve fileexpand path,independent,0
592,916,2265,beginn matrix library handle w,16021,rounding method currently accept numb,independent,0
593,796,7793,would nice following method,6669,given hash hmap return arrayali,relates,1
594,860,6241,beginrncurrently modulemethod defined,5673,significant reason undef met,relates,1
595,727,15912,got report byebug byebug,17140,recent version ruby weve gotten new,independent,0
596,2262,10426,occasionally felt necessity predica,15231,object receives discard ar,independent,0
597,6494,14041,nacl pnacl already sunset statusrnr,5006,occurs since rubygems us,independent,0
598,3,8804,introduce syntax,17474,ruby borrowed conceptsidioms allot,relates,1
599,2269,4867,ive added documentation method added,13697,assigning kosaki since wrote current,independent,0
600,497,12019,nowadays almost every processor,11541,since ruby def return symbol th,relates,1
601,455,12026,add simple way filter warning,11588,ruby current warning system lacking warn,relates,1
602,4344,8264,beginrnas commented structc,15915,cannot think way get meta,independent,0
603,654,8693,def yield end def,15973,kernellambda receives proc,relates,1
604,313,13334,mathncomplex mathnrational deprec,10169,englishrnrnas mentioned,relates,1
605,1205,15942,comparison rubygems npm offer builtin,7701,beginrni would like see keyword args exp,independent,0
606,5320,12919,hi ruby communityrnrni noticed,13494,rnwe method type bit,independent,0
607,288,13789,new direntries dirchidren wo,11302,direntries return array content wi,relates,1
608,3070,5033,minor gc improvementrnrnavoid recurring,5444,came across gem todayrnrn,independent,0
609,861,5690,would great way dynami,5666,would like make rb public ap,relates,1
610,947,5549,request following methodsrnrn com,4574,beginrnhellornrnmany people writt,relates,1
611,4260,4553,beginrna common operation set,14877,seems like there enough complexity determ,independent,0
612,425,12247,found useful arraydelete,12333,would like stringconcat arrayconcat,relates,1
613,721,12512,think value transformation fundamental,7793,would nice following method,relates,1
614,2383,6530,ive added patch improve documentation fo,8586,hirnrnfrequently need run simple f,independent,0
615,4478,8215,beginrnas part debugging celluloid ha,9322,getting array instance method inst,independent,0
616,949,5044,reason zip doesnt return r,4539,inspired haskells zipwith function ha,relates,1
617,2980,10316,ive looking csvforeach equivalent,16817,would like attr predicate like attr reader,independent,0
618,628,8977,memory profiling noticed large,8976,yesterday facetoface developer mee,relates,1
619,2140,17490,backgroundrnthese day sometimes sai,14763,enumerable short hand accepts meth,independent,0
620,1012,5632,rn hello everyone im advanc,8959,since include work top level reaso,independent,0
621,946,4780,mentioned another rejected issue,4615,beginnfileeach linesep line c,relates,1
622,747,7340,following discussion,6687,beginrnlet propose enumerablewith,relates,1
623,1742,9515,io class pair class meth,12752,parsed binary protocol msgpack,independent,0
624,406,7684,noticed nethttpheaderset form data,6481,ive added paul mcmahons patch gh,independent,0
625,5228,7738,beginrni almost sure reject,10674,hirnrnive noticed nethttp retries,independent,0
626,7398,14410,patch rnrn,3773,beginrn sure parent best name,independent,0
627,1260,7075,class endrna warning,4687,added patch minor documentation,independent,0
628,668,8579,id like propose new type string liter,8906,integer float object frozen obje,relates,1
629,346,12996,proposal range optimize red,14575,conscious duplicate bug,relates,1
630,222,14759,everybody benefit jemalloc e,15667,per honglis excellent article look like,relates,1
631,1809,12354,step reproducernrncreate ec keyrn,10356,wondering preferred remove comm,independent,0
632,15,12075,sometimes write following codernrnru,17330,always core method proposal,relates,1
633,257,14145,idea investigating example scrip,16356,current behavior includes rnis th,relates,1
634,589,10552,counting many time value appears som,9970,method simplify two common pattern whe,relates,1
635,405,10208,convert list key value,12512,think value transformation fundamental,relates,1
636,4324,13206,issue tracking gem release fcnt,8300,anyone help figure errorrn,independent,0
637,7740,7788,beginrni endeavoured add proper sch,13585,element returned select,independent,0
638,578,12010,direach dirread including direntr,10121,irc someone asked find dire,relates,1
639,853,5856,feature raise objectrnrn proposalr,5818,proposalrnrnthe ability raise obj,relates,1
640,3214,12254,hirnin order secure sinatra api using,12032,added documentation three method within,independent,0
641,37,17145,id like propose objectdeep freezern,17273,proposal introduce shareable con,relates,1
642,924,5008,beginrnhellornrni using ruby,6276,dear matzrnrnwe establish,relates,1
643,675,8556,propose adding mutexeddelegator simpl,8961,beginrni propose synchronizable mixin,relates,1
644,6020,14767,gcc use monotonic counter objspace mall,12744,patch add strreverse strre,independent,0
645,7290,7614,beginrnprior issue reminded ive,15217,allows u perthread default,independent,0
646,303,13577,first argument file,13568,using filetmpfile tmpfile allows u,relates,1
647,3500,6518,let object link rdoc output formattin,13342,yielding block faster around,independent,0
648,7572,10423,patch also downloadable,5248,beginrnhellowrnrni wrote patch,independent,0
649,4533,15170,currently nice way give webrick,15974,there really common mistake people make wh,independent,0
650,430,12222,python statistic library calculati,12217,issue propose introduce enumerabl,relates,1
651,4756,15445,since ruby ruby occurs syntax error,10474,hi therernrnwe call need float macro w,independent,0
652,6961,7644,upcoming feature refinement bringin,7240,inheritable hook mechanism module woul,independent,0
653,99,16363,mean gem bundled gem,16431,opened pr allows ruby,relates,1
654,1041,6056,patch fix one issue protecting new o,1400,beginrn two way find,relates,1
655,101,15865,adding syntax oneline pattern,16355,currently single line pattern matchingexpr,relates,1
656,719,7793,would nice following method,7292,official method expl,relates,1
657,3564,15017,hirni see ruby already use sigaction f,11081,case process encounter highnumbered fds,independent,0
658,688,8237,beginrnthis feature suggestion wa,8191,beginrnas ducktyped language ruby,relates,1
659,4958,6717,beginrnhow adding method act,9123,numericzero return true false num,independent,0
660,651,8777,hirnrnthis related mach ab,8658,adding new method processclock g,relates,1
661,51,16989,opening series feature request,16992,officially set element uncertain order,relates,1
662,866,5653,hirn rntoday talked nahi en,15592,feature switch autoload behav,relates,1
663,252,14344,rely refinement lot dont want,16241,original discussion,relates,1
664,180,12460,currently unicode version used speci,15341,emoji version different unicod,relates,1
665,1270,4447,beginnplease add stringbyteslice method,12093,implementing feature boost template e,independent,0
666,3877,16779,would great format option qu,3953,beginrn noticed tcpsocketudpsocket,independent,0
667,94,16253,using thisrnrnrubyrn def,16378,think important otherwise,relates,1
668,5033,6277,beginrnmany time hash uniform key,16502,hello everyonernrnid like able,independent,0
669,6888,16666,sorry brought,11737,ruby case expression scenario allows,independent,0
670,5921,16739,often see code like followingrnrn,13697,assigning kosaki since wrote current,independent,0
671,265,14097,currently concat method ruby whi,14105,sure also add feautures th,relates,1
672,460,12019,nowadays almost every processor,12021,final instance variable ruby,relates,1
673,248,11541,since ruby def return symbol th,14397,matsudasan suggested public prote,relates,1
674,600,7836,see following codernrnrubyrnmodu,9781,rnwhen super called method rub,relates,1
675,2437,9585,please add method object,15415,fileutils mv fall back copy unlink,independent,0
676,26,17145,id like propose objectdeep freezern,17273,proposal introduce shareable con,relates,1
677,29,14912,propose new pattern matching syntaxrnrn,17260,propose promote pattern matching offic,relates,1
678,77,13488,currently encodingdefault external set,16604,issue related,relates,1
679,4407,7546,beginrnthis concrete proposal fix,16027,abstractrnrni propose ruby dtrac,independent,0
680,504,11997,request single method read file wh,15804,currently implementation beginendles,independent,0
681,607,9612,previously discussed removing open,5481,beginrnrnuptodate summary propo,relates,1
682,375,11429,currently assigns username variabl,13208,found need recently class,independent,0
683,5057,14821,currently yield self accepts block,17261,abstractrnrni propose software transact,independent,0
684,112,1873,beginrn suspect matchdatasymbol,8912,beginrnwhen custom exception clas,independent,0
685,749,7314,code need convert proc,15973,kernellambda receives proc,relates,1
686,3257,16175,new keyword freeze intro,12676,earlier posted code simplify prime di,independent,0
687,6149,11390,currently possible create symbo,10498,problemrnrnteaching ruby always end,independent,0
688,2267,7068,hellornrni using ruby,16832,debugging bug rail,independent,0
689,994,4247,beginrn planning add followin,3647,arraysample support sampling,relates,1
690,5899,12080,propose new feature enumerablearrayran,5337,beginrni propose using outbufs fileutils,independent,0
691,567,10329,followupto feature optimize recv,10326,concatenating literal string existing stri,relates,1
692,723,7792,recently replace several symbol,5964,put another way make symbol st,relates,1
693,695,6671,beginrnis method already,14951,propose adding new operator truthyfal,independent,0
694,2966,13333,currently block take block bl,12744,patch add strreverse strre,independent,0
695,783,6721,rni think following method missing fr,6684,beginrnobjectdornthis first post,relates,1
696,4935,15797,one reason simplicity,8506,beginrnrubys enumerator enum,independent,0
697,243,14489,currently discourse boot notice min,14492,rn rubygem like yomikomu,relates,1
698,563,5976,beginrni suggest abolition calculati,5677,related proposal rubycore,independent,0
699,2545,7751,following program line filedeletesql,17047,proposalrnin netsmtp add support,independent,0
700,6548,16838,ruby enumeratorrnrn ru,12926,using chop mess final line,independent,0
701,952,4512,beginrnits use,5041,id like set fd cloexec file descri,relates,1
702,7489,17296,rnrnthe fileutilschmod provides sam,10468,parserrb initialize,independent,0
703,219,13118,useful array return repeated p,6869,started commenting r,independent,0
704,136,9777,currently different block object la,15973,kernellambda receives proc,relates,1
705,258,14138,many good reason simply define,14240,think four special variable separat,relates,1
706,4209,2523,beginn whats proper procedure check,3591,beginrn duckinator branch fo,independent,0
707,6848,14924,hellornrnin job many mat,13562,yield self enumerator instance always,independent,0
708,1783,4774,based user experience issue,17276,although obviously syntax error,independent,0
709,2847,16037,pattern matching argument seems pro,11139,application wanting nonblocking acce,independent,0
710,652,8771,beginrn start fake proxy separate w,6546,nahi suggested request o environment h,relates,1
711,4123,17393,could helpful define ractormovedi,3185,beginn fileexpand path passed str,independent,0
712,1085,13095,ioc rb syscall remove deprecation notice,14857,abstractrnrncollect malloc related inf,independent,0
713,6988,17157,warning say removed ruby,16968,obsolete effect since,independent,0
714,720,10552,counting many time value appears som,7793,would nice following method,relates,1
715,7603,9565,argument method form constcla,2456,beginrn example module th,independent,0
716,975,4084,beginn pack support network byt,3491,beginn arraypack stringunpack,relates,1
717,862,13784,ruby full set functional tool,5663,pretty common want map en,relates,1
718,3977,5448,hi rnrnclasses mixing single,6286,would nice exception class could e,independent,0
719,227,4100,beginn attached patch reorganizes fu,4569,beginrnhellornrnfollowing discussi,independent,0
720,934,13694,today june tau day honor,4897,firstly please read tau manifesto,relates,1
721,88,12086,currently refinement activated,16461,overviewrni propose procusing support,relates,1
722,1500,8572,im thinking fiber enumerable,1212,beginn doc arrayfill miss indicat,independent,0
723,921,5016,calling kernelcaller negative limit sh,3917,beginrn propose introduce kernelcalle,relates,1
724,629,8579,id like propose new type string liter,8976,yesterday facetoface developer mee,relates,1
725,285,13847,try use default gem fix,10320,requiring library global namespace alw,relates,1
726,753,7793,would nice following method,7292,official method expl,relates,1
727,512,11420,let introduce id key table optimization,9638,allow better use cachefriendly,relates,1
