req1,req2,id1,id2,Label
the info module should provide more informatio,settings influencing page rendering should,,,0
extend tca types with the possibilty to select,this feature see attached patch depends on,16942,18595,0
after being able to move and rename files cre,the documentation editor should allow files to,57692,57691,1
if there are two login forms on page usecas,sometimes plugins felogin are in the same pa,,,0
it is possible to paste content elements from,currently it is not possible to copy single,,,0
the mvc framework needs to support file / mult,now finally the property mapper needs to suppo,,,0
hi \r\n\r\nlets start to modernize content,the frontend page repository is not capable to,,,0
each input or output should be able to handle,for website with users from the other side,80559,64372,1
the current way of implementing content elemen,it would be great to move all html code from,15943,15524,1
whenever one is going to activate buttone,just usability suggestion which would correc,72908,75462,1
hi \r\n\r\n first sorry for my bad english,locale detection can be done in web applicatio,,,0
it missing sort direction field for fileli,when creating file links ce and adding f,65403,56213,0
currently there is no way to configure minim,would like to see hook added for checking,21659,37800,1
to replace the various viewhelpers throughout,the core features two dedicated editrecordlink,85054,84983,1
at the we get the feedback that hotke,for easier usage the behaviour should be norm,,,0
currently the repositories are all flushed on,currently clone is used inside the persistento,28136,28137,0
background\r\n\r\nthe extension manager in,when looking in the em for my installed extens,89894,70157,1
because the flow framework follows rfc stand,with the recent change to not trigger persista,,,0
can with german translation not read in redi,can with german translation not read in redi,20676,20675,0
the rest controller provided by should,due to limited support in browsers or restrict,,,0
gifbuilder lacks of the possibility to define,imagine you ve two different and dynamically,20164,20207,1
add possibility to export the redirects as,hello core team \r\n\r\ni would prefer globa,,,0
currently db does not execute prepare,prepared queries would help take better advant,27372,23374,1
general problem of is the xhtml suppor,while making use of the function xmlr,,,0
at the we get the feedback that hotke,for easier usage the behaviour should be norm,,,0
as developer want to be able to validate,sometimes validation should only be executed,36695,32832,1
currently it not possible to use string fr,in the function,,,0
it would be nice if placeholder could be ena,the fluid viewhelper passwordviewhelper should,67333,64531,0
sometimes it is needed or can be very helpful,currently the method process in fluidtemplated,,,0
when set an attribute rel= nofollow to the,hi all \r\n\r\nwhen setting links via rte li,34288,75165,1
online service,now that has paved the way the welcome,,,0
it often useful to set default email from,the nice and quite easy to set up mailforms of,,,0
the extension manger shall not give always an,the em always shows developer relevant code wa,23878,23396,1
the current way to go when implementing mail,sends out various emails it would be be,64047,90266,1
hook is missing to allow postprocessing of,hook is missing to allow postprocessing of,,,0
streaming of downloads has the advantage that,does the usage of etag make sence tell me you,5785,7062,0
hey all \r\n\r\nthis is first step into cons,implement rfc also for inline relationa,,,0
the mysql function rand can be used in som,currently the only allowed sort modes are asce,70964,14026,1
we have the current situation \r\n we have,all the best and hope all is good on your si,22845,20991,1
fluid parsing exceptions should contain the pa,if you are trying to build link in fluid,,,0
stdwrap should have function to make the fir,would allow using ucfirst/ucwords and similar,,,0
message formatter is class which formats s,hi \r\n\r\n first sorry for my bad english,,,0
this is my second task for equipping wit,d like to bring some crypto related code int,73164,73050,1
it would be nice to have have way to tell fl,we need concept for cacheable viewhelpers,60181,3291,1
enhance functionality concerning passwor,admins should be able to define password pol,,,0
hi guys \r\n\r\nespecially when developing app,this could be considered as discussion and,54155,33487,0
list view should have collapse / expand fu,have you ever consider to add \r\nexpand/colla,19808,15818,0
when exporting database records from the backe,it would be nice if could change the delimit,86681,84517,0
it would be great if you can configure alterna,currently the resolution of view class and,39870,42176,1
the methods for moving and copying in,currently with fal there is no possibility to,62830,66514,1
d like to bring some crypto related code int,original report\r\n\r\n\r\n\r\nrecently,,,0
feature add anonymizing capabilities to the,we have few functions to deal with ip addres,,,0
if you use popupwindow in typo link,the user cannot resize the popup or scroll the,31636,21302,1
my first impression with flow/neos very unst,core/bootstrap contains the following lines \r,44123,37438,1
rather extensive library of general purpose,problem \r\ni am using the dataprocessor to,79403,79430,1
this could be considered as discussion and,it would be great if you can configure alterna,,,0
there should be possibility to have at least,allow class for flexform sheet tabs in backend,,,0
as preparation for the selenium tests creat,see above,8180,8179,1
currently there no way to avoid that insta,it often useful to set default email from,,,0
the gifbuilder cobject does not have the abili,feature request support for alpha transparenc,28405,22455,0
it would be nice if placeholder could be ena,the fluid viewhelper passwordviewhelper should,67333,64531,0
after being able to move and rename files cre,the documentation editor should allow files to,57692,57691,1
added support to clear cache only in subtrees,in the conf php file of tstemplate/ts/ the fol,,,0
the info module should provide more informatio,settings influencing page rendering should,,,0
the rte configuraion or is this an issue for,only say parsefunc as not sure where thi,16340,20555,1
imagine you ve two different and dynamically,refactor tslib gifbuilder calcoffset to be,20207,20199,1
when you have lot of files in directory an,hi \r\n\r\nthe current system to browse record,83668,64764,1
as user want to change the email template,we have lot of customers who are migrating,85134,88470,0
in the typo core counting rows is/was implemen,in the typo core counting rows is/was implemen,19793,19786,1
would be cool to have pagetsconfig for backe,the default layout in the page module left no,37208,39027,0
curl allows \r\ncurlopt proxytype \teither cur,in our network we have proxy server which al,28258,31818,1
the typoscript select properties groupby and,there are lots of parameters still left in tsl,20508,24089,0
in the info module pagetree overview the,the info module has currently hardcoded sele,34541,83449,1
please ordered in ts the results for the url,it would be nice to get the list of links grou,27577,27469,1
we need replacement for the lazy loading tha,it should be possible to count objects in re,6120,3337,0
within cms it is not possible for th,this hook enables you to modify the hash base,56269,28299,1
it would be nice to have gui to setup up the,something like this would be nice \r\n\r\n htt,,,0
the login screen offers way to display,to give users the possibility to format th,23615,23740,1
there is already functionality in place to fet,apply default ordering based on the order in,34028,34027,1
as described in right now it not poss,it possible somehow to add default value,69409,31097,1
related is think about worth,in fal image captions you can use links to pa,67690,67679,1
it would be really nice to have keyboard co,at the we get the feedback that hotke,,,0
if your webpage contains multiple links to the,for now all links are processed in one chun,10431,10432,0
there is no sprite generator shipped with typo,does not generate sprites on its own,,,0
versioning is part of the core but the ui is,it would be nice to hide the workspace menue,16365,16626,1
hi \r\n\r\ni would like to make suggestion,since the comparing of be user records,,,0
currently \r\n globalvar = gp = gp =,currently you can only compare against multipl,45867,39700,0
the current implementation always adds new irr,hi \r\n\r\nonly one thought \r\n\r\na customer,,,0
admin tools db check provides task to mana,this bug entry serves as an umbrella for sched,,,0
hi \r\n\r\ni was playing around with the new,hallo \r\ni have created patch for media con,,,0
the new text media element has no possibil,hello \r\nit seems there is not any option fo,,,0
using the clipboard to other than normal,in the list view you can easily select multipl,26139,65069,1
when you have lot of files in directory an,hi \r\n\r\nthe current system to browse record,83668,64764,1
it quite some work to add like alternativ,currently there is field to enter domainna,,,0
instead of evaluating google analytics code ri,hello\r\n\r\ni would suggest option which en,,,0
based on the cardlayout should be intro,there should be an xtype which allows us to ge,32309,28384,1
the confirmation page button button label an,currently it not possible anymore to change,54654,69176,1
suggestion for don know if som,based on the work from,67750,80477,1
as complicated as it is easy to say hollow ou,hello \r\nit not possible to use arrays in,69863,55660,1
it should be possible to configure the pageren,should be great to be able to declare head,60723,11287,1
logged in users dont get result of queries,uses the gr list which indicates the,,,0
most of the field outputted in head lack std,the pagerenderer uses htmlspecialchars for the,25717,33491,1
hello \r\n\r\ni think filter by fields in th,think select condition to filter items in,11869,26722,1
at first the new workspaces module seems very,it possible to get stuck with auto versionin,15256,16359,1
m currently putting an package tog,currently provides command line interf,7216,4469,1
and now new idea widget which show the re,widget which shows the content going offline,,,0
an implementation is already pending for,currently it is not possible to get an has,28230,28095,1
curl allows \r\ncurlopt proxytype \teither cur,hello there \r\n\r\ni like to address matt,28258,59326,1
it would be nice to have an filter to see onl,local extension \r\n only active/inactive/upd,30508,43177,1
an implementation is already pending for,the current accountfactory uses the generates,28230,26786,1
would be nice to have data provider for sche,it be useful to have way to automatically,64093,4387,1
hello team \r\n\r\noracle db has ch,hello team \r\n\r\ndbal allows to map ta,,,0
to be able to store byte unicode characters,there should be possibility to set the conne,80398,71454,1
the statistic informations should be available,the overview module should have an overview of,,,0
it would be very nice to be able to replace,with stdwrap it not possible yet to do orde,19320,19347,1
motivation \r\ncurrently there is being some,currently it not possible to search for loca,89582,89524,1
integrate the linkhandler into the core not,having the following gives us functionality to,79626,76859,1
the current element browser need support for,hi \r\n\r\nthe current system to browse record,66608,64764,1
this is one of several possible solution to ig,as already mentioned the problem of false pos,92297,92822,1
add guzzle as depencency and deprecate,after introducing we can,70056,28626,1
something like this would be nice \r\n\r\n htt,it would be nice to have gui to setup up the,44297,25637,1
order the fe group select by title or tt conte,the select box of simulate frontend user grou,17473,17290,1
initial situation \r\ni have menu point in,currently page of type shortcut can only,17406,46138,1
allows to simply turn conditions into the oppo,sometimes the ifviewhelper syntax is quite ver,,,0
settings influencing page rendering should,the info module should provide more informatio,84584,84585,1
to be able to use ext form just as it is js,currently the submitted data of the form is on,83672,31094,1
the rest controller provided by should,routes need an option to be limited to certain,37604,27117,1
vimeo allows to omit cookies by adding get,ask users for consent before loading youtube,89381,84843,1
would be nice to have data provider for sche,it be useful to have way to automatically,64093,4387,1
integrate bootstrap style color picker \r\nh,constant txt\r\n\r\n pre \r\nconfig tx phamlp,73728,28950,1
it was asked couple of times in mailing lists,sometimes it necessary to include dynamic,40081,33215,1
add an option to blacklist ips for configura,our current brute force protection is non exis,21661,75987,1
currently it is not possible to copy single,it is possible to paste content elements from,31377,44002,1
hi \r\n\r\n first sorry for my bad english,existing resource management subsystem needs,6724,7721,1
and now new idea widget which show the re,widget which shows the content going offline,,,0
sometimes the ifviewhelper syntax is quite ver,allows to simply turn conditions into the oppo,52640,60430,1
not sure if in the right category and ther,suggestion for don know if som,77842,67750,1
if you define uniqueconstraints in model,property with the indentify annotation is,,,0
flag for user that the password neeeds to,flag for user that the password neeeds to,,,0
we need menu to call store and edit shortcu,think it would be nice if the icons in the,,,0
rather extensive library of general purpose,problem \r\ni am using the dataprocessor to,79403,79430,1
if you compare your db in the database analyse,problem \r\ncurrently testing lot of pat,15066,20733,0
sometimes the ifviewhelper syntax is quite ver,afaik you currently have to do something like,,,0
replace all knownpwassword == givenpassword,hi folks and core team \r\n\r\ni’m worki,79888,79795,1
gather all ces which are not assigned to val,imagine the following scenario crea,67884,76564,1
the taskcenter is redone completly to make it,as in issue the task center is not av,,,0
hi guys \r\n\r\nespecially when developing app,this is usefull if you use multiple packages,54155,50826,1
this ticket is similar to my previous,problem \r\nafter switching to there are,,,0
cms is allowing user to set custom,general problem of is the xhtml suppor,,,0
hello everyone \r\n\r\nis it possible to integ,admins should be able to define password pol,,,0
integrate possibility to enforce the usage,it should be possible to show openid provider,19618,49399,1
curl allows \r\ncurlopt proxytype \teither cur,override any of the curl options to forg,28258,27988,1
the documentation editor should allow files to,git based documentation projects should allow,57691,57697,0
here longer term idea proposal move all,to be able to version the configuration and re,80212,92431,1
formviewhelper needs new argument designa,we should supply mechanism in the viewhelpe,3717,1907,1
actually ajax is used for hide/unhide or delet,it would be nice if it were possibleto to sort,78931,92295,1
widget which shows the content going offline,widget which shows the content going offline,,,0
at the moment the path is hardcoded to be sepa,when displaying search results slash is hard–,33077,23156,0
distribution comes with an easy to use,currently provides command line interf,,,0
objects yaml should allow for adding and ove,when classes are extended inheritance should,,,0
the tagging features of the file backend are,the tagging features of the file backend are,36564,36563,1
serializing is not clean at all and can potent,it be useful to have way to automatically,83338,4387,1
for now under the page tree we have only opt,this is lacking feature that me and probably,15091,14442,1
add fallback for servers without mod rewrite /,should check somehow if mod rewrite is,,,0
well know you can easily add this column by,have added two new fields to fe users table,,,0
usability and of viewpage module should be imp,since the viewpage module shows sele,51933,51865,1
during the first prototype of the so,would be cool to have pagetsconfig for backe,24060,37208,0
atm meta tags are added with complete html tag,note this issue came about from issue,,,0
for type=input there is js eval func that ma,johannes feustel \r\n as an editor and as d,,,0
let project be kickstarted from git reposi,the list of official manuals,57642,57571,0
currently cms has no easy/working way fo,currently only swf is supported,61799,25718,1
offers the possibility to define fields,it might be great that the individual fields,,,0
in order to cleanly separate between the domai,implement proper http support \r\n\r\nthis,35243,33371,1
m currently putting an package tog,distribution comes with an easy to use,7216,4426,1
in older versions it is possible to defi,follow up for \r\n\r\nthe site settin,,,0
this patch request contains functions for,because there are some plugins enabled to let,18239,18238,1
gifbuilder lacks of the possibility to define,refactor tslib gifbuilder calcoffset to be,20164,20199,1
currently the objectaccessor will always be es,remove the shut up operator and instead cr,,,0
currently ships with now requires,videojs is included since as contr,,,0
the current marker templating system collected,add an api method\r\n\r\n template addtcareco,19185,19190,1
like media categories etc,hi \r\n\r\nhaving enabled categories tab in ba,76796,76433,1
we need mechanism which prevents the user fr,scenario \r\n\r\nthe developer programmed,2817,4960,1
we need to monitor the settings or probably,if class containing route part handler is,5849,3306,1
the attached patch implements autoloading for,in every class instances are done throug,19503,18548,0
when creating internal or external links the,the attached patch optionally adds field to,20936,22444,0
hi \r\n\r\nthis old trick from my weblog in,what about adding browse link wizard for ext,20183,17914,0
tried to use the new way to handle restric,noticed that only pages and language tab,,,0
currently cms has no easy/working way fo,currently only swf is supported,61799,25718,1
situation \r\n\r\n did fresh install,it would be really nice to have possibility,,,0
it would be great to add stdwrap functionality,would like to write\r\n\r\n alwaysactivepidl,16666,16665,1
when building rest service that uses the pat,parsing of body arguments xml json cur,54600,45293,1
pre \r\nimported from,at the we get the feedback that hotke,92432,66343,0
hi guys \r\n\r\nespecially when developing app,this is usefull if you use multiple packages,54155,50826,1
if donotcheckreferer is disabled form mails,when sending formmail checks if the re,14344,14924,1
while discussing widget concept we,one possibility for join implementation coul,8774,6609,1
the following would make life easier for autho,when you select row of cells it would seem,,,0
previewing of group limited content only works,settings influencing page rendering should,,,0
simon tuck has made the extension conditions,the conditions are always combined with or wha,15562,14427,0
at be it is possible to choose where you want,to move ui elements around in the be ui it is,18054,17678,1
lts and require swiftmailer with,use egulias/email validator for email valida,87856,90370,1
would like to be able to tell the image,when rendering an image places it,88954,59067,1
the repeated declaration of your own namespace,currently custom view helper namespaces can be,35766,4472,0
the lately introduced possibily for tes,nested get params are already allowed in typos,,,0
currently after successful install of,if you install new you ll get no page,,,0
the documentation editor should allow files to,it would be useful to add drag and drop to the,57691,55193,1
what is your opinion about introducing,flow has the notion of applicationcontext whic,,,0
related to \r\ncite \r\n it would be,it would be great if the values setting for,56517,38163,0
for multi language sites it is not really conv,if an editor selects one language it would be,46017,66869,1
some websites set cookies and redirect to othe,wikipedia and also out own wiki org redi,,,0
the noopener link type prevents an opened ur,hey there \r\n\r\nis there solution for the,82055,78488,0
result of the workshop implementing reponsiv,allow to remove height and width information,,,0
afaik such method does not exist \r\n\r\n\r,sometimes need locate page in page tree by,89979,22985,1
would like to provide different image crop,add hook signal or configuration options th,,,0
we can set the title len for any for the lis,it doesn respect the user preference title,19358,18999,0
currently there no possibility to handle nul,the current implementation in the backen,43133,41773,1
like media categories etc,hi \r\n\r\nhaving enabled categories tab in ba,76796,76433,1
it be useful to have way to automatically,serializing is not clean at all and can potent,,,0
installations with extensive gmenus and rollov,when using layermenus you are confronted with,,,0
with the new changes that prevent unsafe metho,due to limited support in browsers or restrict,47551,47137,1
hide the option to create new mysql database,every mysql user has access to the databas,27194,27241,1
the patch,the patch,65460,65461,1
some users simple redactors don know what,when configuring link target in the elementb,,,0
problem \r\nremoving many extensions that cou,please add possibility to deactivate an exte,73697,71525,1
in extbase have scenario where have to,as complicated as it is easy to say hollow ou,,,0
when sending formmail checks if the re,if donotcheckreferer is disabled form mails,,,0
the tca definitions of the table pages are loc,the where part of the query to determine wheth,,,0
the installtool does not check if session sup,just got the problem \r\nsession handling is,,,0
the workspace configuration is extended by an,filter the workspaces changes that only the,65720,15459,1
hello \r\n\r\ni think filter by fields in th,think select condition to filter items in,11869,26722,1
dealing with lots of images in be is quite pai,miss the possibility to delete multiple file,60835,52150,1
to ease debugging of the form yaml configurati,in order to allow the debugging of yaml config,,,0
this bug entry serves as an umbrella for sched,often customer databases are filled up with lo,25338,25343,1
intersphinx mapping could easily be achieved,browser for references stored in any documen,48936,51280,1
when the user select sysfolder in the page,if be user opens page with doctype sysfold,,,0
backport openid sysext developed at hackontest,to improve single sign on services backport,,,0
the extmgm api provides methods to add,with div trimexplode it not possible,19497,19512,1
the frontend page repository is not capable to,hi \r\n\r\nlets start to modernize content,68300,38732,1
the list module has great mass edit function,image you drag drop many files in the fileli,60907,58628,1
sometimes it necessary to include dynamic,in boolean viewhelper attributes like the i,,,0
adodb supports memcache for queries,prepared queries would help take better advant,,,0
as complicated as it is easy to say hollow ou,tried to add rendering of partials from othe,69863,57446,1
add view helper so that markers of the form,the current marker templating system collected,,,0
currently many messages feedback / error are,they should be moved to one of standard langua,87092,17274,1
dear people and community \r\n\r\nthere is oft,if be user opens page with doctype sysfold,,,0
ext sr feuser register and others add new fiel,the forgot password template can only be cha,,,0
stdwrap is not possible for select where \r\ne,by using markers and properly quoting and esca,17881,22338,1
the configuration of the rte has numerous prop,problem configuring the rte in page ts config,16484,28325,1
it is not possible to configure the language,the patch attached adds parameter preserveq,15175,15426,0
we should supply mechanism in the viewhelpe,formviewhelper needs new argument designa,,,0
currently ships with now requires,core currently ships \r\n\r\nfor compati,37921,48223,1
the overview module should have an overview of,the statistic informations should be available,5111,4895,1
at the list module extended view the are lo,it would be great if one could also change the,15092,15074,1
situation \r\nlist view only one specific rec,using the clipboard to other than normal,,,0
the tagging features of the file backend are,update the caching framework to version,,,0
using class or style attribute instead of,the following conditions have to be met \r\n\r,,,0
here is the diff that creates same functionali,have you ever consider to add \r\nexpand/colla,17225,15818,1
by using markers and properly quoting and esca,stdwrap is not possible for select where \r\ne,,,0
we have the current situation \r\n we have,all the best and hope all is good on your si,22845,20991,1
new question type needs to be added called,in pbsurvey issue new question type,,,0
extend persistedusernamepasswordprovider wit,what really love is something like this to,46063,55831,1
have ideas for improving relations part \r,it would be nice if could change the delimit,15112,54075,1
there are flag icons for serbia and romania,hi \r\n\r\nplease add the serbian flag in the,21765,20709,0
imagine you ve two different and dynamically,gifbuilder lacks of the possibility to define,,,0
the livesearch the search in the topbar coul,to ease using the backend to newcomers of typo,,,0
for easier usage the behaviour should be norm,at the we get the feedback that hotke,57065,66343,1
the mysql function rand can be used in som,currently the only allowed sort modes are asce,70964,14026,1
hi \r\n\r\ni would like to make suggestion,the user information in the beuser module is,90478,90298,1
fluid does not provide way to access flexfor,the flexformservice should convert values into,89509,92402,1
this text was response to / in,currently most actions in the tstemplate modul,63011,60045,1
as the checkbox in the admin panel is gone th,sometimes it is useful to have look at the,67339,54805,1
it should be possible to set identity and iden,if class schema exists and the type is set,6142,6140,1
in it was decided that the protocol sele,this is general inconsistency issue througho,71306,5369,1
the ts debugger in adminpanel fe has an opti,database structure should be optimized,,,0
this hook enables you to modify the hash base,within cms it is not possible for th,,,0
it should be possible to submit date through,now finally the property mapper needs to suppo,27417,5660,1
when configuring link target in the elementb,some users simple redactors don know what,69351,5341,1
result of the workshop implementing reponsiv,there are some tasks which could be improved,50075,49723,1
the request object mainly webrequest should,there is now use case for content negotiatio,,,0
installation should notify backend users,is it an idea to add warning in the system,85843,73713,0
currently the flow developer has to set sess,extend persistedusernamepasswordprovider wit,,,0
related to \r\ncite \r\n it would be,it would be great if the values setting for,56517,38163,0
it would be nice to have gui to setup up the,something like this would be nice \r\n\r\n htt,,,0
keep backend preview templates feature but do,want to display not entries on section,74500,73597,1
since the rewrite of extension manager access,the new documentation module provides signal,50486,50003,0
the core currently no common interface,the clipboard currently has no clean api and,32076,32077,0
so im using now for few months and int,hi \r\n\r\nthe current system to browse record,89709,64764,1
related to \r\ncite \r\n it would be,was wondering why the new form content eleme,56517,45709,0
this makes sense for cli and for the be module,\r\nthe following command\r\n\r\n pre \r\ncli,4112,4108,0
d like to have the possibility to store inli,in addition to bug report it would be,17125,18366,1
remove the shut up operator and instead cr,currently the objectaccessor will always be es,6844,6389,1
since the viewpage module shows sele,usability and of viewpage module should be imp,,,0
situation \r\n\r\n did fresh install,when updating an url segment from /parent pag,86937,86496,1
currently when using viewhelpers from part,one major source of errors when working with,58829,53059,1
searching for for example does not return,searching for for example does not return,14590,14591,0
selicons are missing for the flag selector box,the title says all which is to say\n\n\n\nthe,,,0
hook is missing to allow postprocessing of,hook is missing to allow postprocessing of,23260,23244,1
admins should be able to define password pol,currently there is no way to configure minim,80793,21659,1
allow the editor to set the multiple attribu,check if it is possible to upload multiple fil,,,0
with the rewrite of the module be user adminis,the user information in the beuser module is,,,0
motivation \r\ncurrently there is being some,for multi language sites it is not really conv,89582,46017,1
sometimes the ifviewhelper syntax is quite ver,afaik you currently have to do something like,,,0
it would be great if session could be tagged,it might be great to be able to create content,,,0
for website with users from the other side,johannes feustel \r\n as an editor and as d,64372,61110,1
they should be moved to one of standard langua,currently many messages feedback / error are,,,0
related to,creating new file reference in frontend cont,,,0
with the rewrite of the module be user adminis,the user information in the beuser module is,,,0
order the fe group select by title or tt conte,the select box of simulate frontend user grou,17473,17290,1
it should be possible to register custom views,currently the charts are created equally for,4718,4894,1
currently the installtool is only in english,they should be moved to one of standard langua,87091,17274,1
it would be nice to have hook when the opcod,the opcode cache from the web process cannot,66495,57258,1
the tca definitions of the table pages are loc,the where part of the query to determine wheth,,,0
it would be great if there possiblity to,in feature the suggestion is to use,15810,38185,1
having the following gives us functionality to,integrate the linkhandler into the core not,,,0
admins should be able to define password pol,show somehow which user passwords are treatend,80793,51479,1
it is not possible to make fields at edit pag,some of the tca config can not be overridden,14669,55976,1
currently there no possibility to handle nul,the current implementation in the backen,43133,41773,1
to be able to version the configuration and re,here longer term idea proposal move all,,,0
as reported in issue \r\n\r\na typical,little usability improvement would be if you,,,0
one major source of errors when working with,currently when using viewhelpers from part,,,0
currently the installtool is only in english,they should be moved to one of standard langua,87091,17274,1
to be able to store byte unicode characters,need to set the charset of the database to,,,0
when change page alias have to find,right now if page is deleted inside your sit,15140,15043,1
when specifying model name starting with l,when specifying model name starting with l,43143,43144,0
it would be nice to build custom error pages,there are already several places in the,16617,17992,0
in order to allow custom specifics for website,add option to exclude pages from speaking ur,,,0
hello \r\nit seems there is not any option fo,the new text media element has no possibil,86908,71831,1
it would be useful to add drag and drop to the,after being able to move and rename files cre,,,0
hi \r\n\r\nthe current system to browse record,having folder with more than images th,64764,64401,1
this bug entry serves as an umbrella for sched,according to some recent discussion dmitry su,25338,25341,1
developers having hard time figuring out wha,if you are trying to build link in fluid,,,0
override any of the curl options to forg,div geturl is know to be hudge and,27988,28344,1
it should be possible to set the title of the,make it possible to define the site title in,89502,85592,0
core currently ships \r\n\r\nfor compati,videojs is included since as contr,,,0
well know you can easily add this column by,have added two new fields to fe users table,,,0
when using ext sphinx,use case is as follows \r\n\r\n document is,48764,51875,0
currently settings which are typically define,as discussed on the last code sprint some sch,5068,31277,0
if want to edit for number of nested level,with more complicated permissions and owner,15619,16446,1
annoy user with warning so that she changes,currently there is no way to configure minim,14711,21659,0
gifbuilder lacks of the possibility to define,imagine you ve two different and dynamically,20164,20207,1
as an editor want read important instructio,as page may contain lot of records the dis,83965,61170,0
currently it is really hard to get to the actu,in the backend forms the fieldnames are displ,83461,92283,1
it would be nice to hide the workspace menue,versioning is part of the core but the ui is,,,0
widget which shows the content going offline,widget which shows the content going offline,35348,36247,1
labels in the dropdown menu to configure parag,it would really be nice to override the headi,18225,16605,0
currently there is field to enter domainna,it quite some work to add like alternativ,36689,34342,1
sphinx contrib,since compilation of ext sphinx manual,51850,51874,0
this menu works without problems on mac with,while the context menu in the page tree left,14411,14384,0
hey guys \r\n\r\ni check all how many issues,the save and view button in the backend is onl,49972,23085,1
in our network we have proxy server which al,curl allows \r\ncurlopt proxytype \teither cur,,,0
perhaps we should start with an example before,uses the gr list which indicates the,17638,17630,1
the new plugin for selecting colors,the font tag is depreciated \r\n\r\ncann rte,19032,18457,1
the older implementation is fairly limited to,there is now use case for content negotiatio,37561,10680,1
the current element browser need support for,hi \r\n\r\nthe current system to browse record,66608,64764,1
rather than reproducing bunch of xhtml api,tagbuilder addattribute currently cannot ad,,,0
hi \r\n\r\nit will be great adding condition,hi \r\n\r\nbecause to add javascript file in,,,0
in are no flags for turkey an,hi \r\n\r\nplease add the serbian flag in the,,,0
utility method should be added to dynamicall,intersphinx mapping could easily be achieved,51756,48936,0
hi \r\n\r\nthe current system to browse record,hi team \r\n\r\nno pagination available on htt,64764,23631,1
in the list view you can easily select multipl,using the clipboard to other than normal,,,0
widget which shows the content going offline,widget which shows the content going offline,,,0
task has been introduced to execute the syst,in an attempt to bring self monitoring to typo,,,0
currently there is no fixed time during the ap,expired cache entries even those of caches,1787,1785,0
in order to allow the debugging of yaml config,to ease debugging of the form yaml configurati,83834,90052,1
bring responsive adaption for viewpage preview,since the viewpage module shows sele,,,0
update the caching framework to version,the tagging features of the file backend are,39430,36564,1
currencies should probably be handled in spe,the format currency viewhelper currently only,9313,33143,1
we need menu to call store and edit shortcu,to move ui elements around in the be ui it is,,,0
we need concept for cacheable viewhelpers,it would be nice to have have way to tell fl,,,0
the reference browser already lets the editor,since compilation of ext sphinx manual,52347,51874,1
currently provides command line interf,the path to the php binary should be configura,,,0
hello \r\n\r\ni dont know if this big has alre,while working with records listings in the lis,42457,25113,1
hallo \r\ni have created patch for media con,hi \r\n\r\ni was playing around with the new,63395,37073,1
listing files in the file selection popup is,hi team \r\n\r\nno pagination available on htt,66464,23631,1
the video tag has the possibility to add,the video tag has the possibility to add,68402,68403,0
d like to bring some crypto related code int,original report\r\n\r\n\r\n\r\nrecently,,,0
as proposed in to improve dependencies,today more and more css frameworks such as bo,58122,51905,0
adds the two fields crdate and cruser id to th,the workspace view of by default only of,16444,16445,1
this could be considered as discussion and,currently the resolution of view class and,33487,42176,1
this is new extension as rewrite and impro,throughout discussion in core list integrate,,,0
fal allows files and folders to be restricted,the attached patch allows to display different,,,0
currently only swf is supported,youtube video urls in the media element are re,25718,53421,1
very basic requirement for most registration,in my rfc proposed notexistsvalidat,39788,47191,1
hello guys \r\n\r\nusing since trunk now,hello guys \r\n\r\nusing since trunk now,24901,12664,0
hi \r\n\r\nthe current system to browse record,listing files in the file selection popup is,64764,66464,1
currently with fal there is no possibility to,the methods for moving and copying in,,,0
the pagetree filter could be improved by addin,in the original concept for the new page tree\,36071,36075,1
as discussed here\r\n\r\n,new filetypes aren indexed \r\n\r\ni ve got,10173,23669,0
as we target php for core shoul,should support the concept of vendor nam,25337,27490,1
in the original concept for the new page tree\,sometimes need locate page in page tree by,36075,22985,1
hi \r\n\r\nlets start to modernize content,now fluidtemplate supports layoutrootpaths and,,,0
it should be possible to add csh texts within,for structuring all sorts of content elements,71102,71081,1
during entry of password data into password fi,use javascript event handler onkeypress to,,,0
the onclick popup for images in extensions nee,when using layermenus you are confronted with,17003,15889,1
in an attempt to bring self monitoring to typo,as part of the self monitoring core need,24009,24011,1
it is not possible to make fields at edit pag,if you use the wizard add feature in the tc,,,0
it should be possible to shorten the link or,the forgot password template can only be cha,34130,19329,1
show somehow which user passwords are treatend,admins should be able to define password pol,,,0
when sending formmail checks if the re,if donotcheckreferer is disabled form mails,,,0
in the frame of the ble project,in the frame of the ble project it has been de,28302,28363,1
following up on validation should make,sometimes you need to receive variable numb,,,0
make the compressed file extension configurabl,please use gz instead of gzip for statically,,,0
the current way of implementing content elemen,it would be great to move all html code from,15943,15524,1
the form wizard has to support the input,please add the input types,69973,50539,1
further information see\r\n,summary request for new field type currenc,52987,52986,1
don see possibility to add existing reco,currently it only possible to create compl,16400,18968,1
hi \r\n\r\nhaving enabled categories tab in ba,like media categories etc,,,0
similar to the automatic flushing of the refle,similar to the automatic flushing of the refle,2408,2305,1
the extbase signal/slot dispatcher should al,it is not possible to remove slot from sig,73474,65774,1
typoscript option subjectfield wrap would be,it would be nice to make something like this,54030,68771,1
after registrating the user gets an email if,for me the documentation lacks in flow chart,,,0
settings allowed properties on the configurati,when using the propertymapper it is useful to,46061,46048,1
currently the sub categories of the constant,the extensionmangers configuration page for pl,22107,19958,0
sometimes need locate page in page tree by,in the original concept for the new page tree\,,,0
